date,system_id,uid,ts,n_samples,n_spike_frames,hive_exit_v1,hive_return_v1,hive_exit_v3,hive_return_v3,initial_speed_min,start_dist,outward_cos,terminal_speed_min,end_dist,toward_cos,tortuosity
2026-05-14,939,2556399,2026-05-14 10:50:08,136,3,False,False,False,False,0.4428289003667265,1.4187454227669676,-0.13618927703864908,0.8304233423381083,3.2954397459064553,-0.9997682467722834,1.8726633462899376
2026-05-14,939,2556407,2026-05-14 10:51:13,257,0,False,False,False,False,0.2570350855790769,0.2106059922126201,0.3902839003558575,0.266513565742906,1.1406853171427254,-0.7742273030742679,2.849583949326799
2026-05-14,939,2556408,2026-05-14 10:51:13,141,0,False,False,False,False,0.5304202869423406,1.1648188506802246,0.32076111809805075,0.4652852050355759,1.311038042535761,0.6655585168346009,2.9629507724793025
2026-05-14,939,2556414,2026-05-14 10:51:19,115,2,False,False,False,False,0.5498498291351865,1.4535666418120943,0.047715220083905475,0.09229840193633293,1.7700975354482587,-0.809321891168943,2.370055931376325
2026-05-14,939,2556418,2026-05-14 10:51:28,375,0,False,True,False,False,0.39928057243121945,0.221473954256226,-0.9720731172464033,0.07845246793441098,0.13106218582413473,-0.8996474798795187,6.925994036183509
2026-05-14,939,2556428,2026-05-14 10:51:36,284,1,False,False,False,False,0.7452735579637838,0.2906340854233874,-0.8739186879559485,0.06494625855274269,0.11979400613135867,-0.5044139318481301,3.5851683990521184
2026-05-14,939,2556431,2026-05-14 10:51:39,331,2,False,True,False,False,0.2338088021568067,0.23043937444345075,0.20438678442911945,0.07224639147389744,0.06364902251637504,-0.7928452280112406,10.245852048735472
2026-05-14,939,2556432,2026-05-14 10:51:40,193,1,False,False,False,False,0.2960505066424465,0.30935754827124484,-0.5439148520913949,0.23822027227966788,0.5233491916741632,-0.519073992274271,3.2993155389678397
2026-05-14,939,2556437,2026-05-14 10:51:47,110,4,False,False,False,False,0.5780106241238094,2.406599733013134,-0.9386275394226916,0.505348576133345,1.7630118233012506,-0.572446849392993,1.1188849524697784
2026-05-14,939,2556438,2026-05-14 10:51:49,131,0,False,False,False,False,0.7346608170441571,1.2859529949462036,0.29910807306616427,0.3901736293305945,2.5583786247739018,-0.9835982486710805,1.6193433660003993
2026-05-14,939,2556440,2026-05-14 10:51:59,381,0,True,False,False,False,0.045855004612366676,0.03515057496763825,0.29785382356687795,0.5224396469689144,0.9748095855401708,0.04015912412553688,3.306180170181167
2026-05-14,939,2556450,2026-05-14 10:52:48,157,0,True,False,True,False,0.21337231483020536,0.09985150750545081,0.49596157726391277,0.29879672475615054,1.0128000012213665,-0.4906013793314919,2.4751731621957584
2026-05-14,939,2556451,2026-05-14 10:52:50,116,0,False,False,False,False,0.6504452035652102,0.9667129058150845,0.5503306124376517,0.23803340962983738,2.16135629969332,-0.26735957946948125,1.5782476151371472
2026-05-14,939,2556461,2026-05-14 10:53:42,122,5,False,False,False,False,0.6802780918830178,1.1930017060461398,-0.6758993997846109,0.23382768896133835,2.5940004829762464,-0.641636002430557,1.1892050327386317
2026-05-14,939,2556468,2026-05-14 10:54:07,136,8,False,False,False,False,0.9216798773977796,1.7127472640111787,-0.4443103442425068,0.2105882475353097,2.1089510479145788,0.4044585066007858,5.226995162947059
2026-05-14,939,2556474,2026-05-14 10:54:25,245,9,False,False,False,False,0.14847134201588313,1.7714927312588038,0.641336792261368,1.0017926057822484,4.302566663423125,-0.9966559733083914,1.6648297758722155
2026-05-14,939,2556481,2026-05-14 10:55:18,714,3,False,False,False,False,0.5401109266817338,0.6012463276732387,-0.9425268295175757,0.8399949408329958,1.507592967957864,-0.9798867700754035,2.457382094388838
2026-05-14,939,2556492,2026-05-14 10:55:29,135,3,False,False,False,False,0.9912619809616434,1.353078604439397,-0.050170350207258095,0.7344438865563625,2.72014141551501,-0.9828413408632016,1.8976413362509132
2026-05-14,939,2556495,2026-05-14 10:55:30,164,1,False,False,False,False,0.414779922982062,1.0712910249735543,0.5145168242427574,0.26626501014025705,2.749942305739886,-0.6645440332072926,1.4225096027174386
2026-05-14,939,2556497,2026-05-14 10:55:34,151,11,False,False,False,False,0.5373275949607029,1.5726437436423206,-0.3494139018080052,0.5169490023203495,1.2676610465570046,0.12453594583919961,2.365689698320935
2026-05-14,939,2556501,2026-05-14 10:55:55,715,0,False,True,False,True,0.15045924198931965,0.181729561035072,-0.9316095823846228,0.007446242340926587,0.05625429851131377,-0.5294454258388457,11.32111061672929
2026-05-14,939,2556502,2026-05-14 10:56:03,375,0,True,False,False,False,0.038129153216406496,0.06198441246438942,-0.3170968431233516,0.18030325267448788,0.3425550241479462,0.06928974916557787,5.8730987605141305
2026-05-14,939,2556531,2026-05-14 10:57:57,186,0,True,False,False,False,0.11800821744110565,0.1146164327556335,-0.7195988061878931,0.12814815342018226,0.21298512911703485,-0.792569525370394,3.3871520439077063
2026-05-14,939,2556536,2026-05-14 10:57:59,194,0,True,False,False,False,0.11824999436897012,0.08861701685014634,-0.9823128024513706,0.125616126850817,0.2175044114541128,-0.25883345544691755,12.804749138197158
2026-05-14,939,2556538,2026-05-14 10:58:01,257,0,False,False,False,False,0.3613125464900078,0.17030392068196457,-0.1456304766230985,0.25692316015689215,0.6555296543444852,-0.9612163660833132,2.7194542085692777
2026-05-14,939,2556541,2026-05-14 10:58:10,871,0,True,False,False,False,0.07360306553398228,0.05065304176673126,-0.21239899593574013,0.16774731041063534,0.7024354824046122,-0.7125437809735564,3.9002565031363083
2026-05-14,939,2556548,2026-05-14 10:58:23,143,0,False,False,True,False,0.1051348212582304,0.10538937817288166,0.8953642600774158,0.17520947812547444,0.4379972302937542,0.045424770177628415,3.400807471165378
